Name,Latitude,Longitude,Address,Categories,Rating,Google Maps URL
Trạm Y Tế Phường Tân Kiểng Quận 7,10.746069199999999,106.7072865,"Trạm Y Tế Phường Tân Kiểng Quận 7, 98 Đ.13, Tân Hưng, Hồ Chí Minh, Việt Nam",Trung tâm y tế,2.6,https://www.google.com/maps/place/?q=place_id:ChIJ-b-Kb4AvdTERwjkIKvK5ea8
Bệnh viện Đa khoa Tân Hưng,10.7512252,106.6963562,"Bệnh viện Đa khoa Tân Hưng, 871 Đ. Trần Xuân Soạn, Tân Hưng, Hồ Chí Minh, Việt Nam",Bệnh viện đa khoa,3.1,https://www.google.com/maps/place/?q=place_id:ChIJDxW8UgkvdTERCCot1MqXsLA
Trạm y tế phường Tân Mỹ,10.7377564,106.72353609999999,"Trạm y tế phường Tân Mỹ, 101 Nguyễn Thị Thập, Tân Mỹ, Hồ Chí Minh 00700, Việt Nam",Trung tâm y tế,3.1,https://www.google.com/maps/place/?q=place_id:ChIJDQAb9n0ldTER42XxiiIsp34
Bệnh viện FV,10.7325029,106.7180068,"Bệnh viện FV, 6 Nguyễn Lương Bằng, Khu đô thị Phú Mỹ Hưng, Tân Mỹ, Hồ Chí Minh 70000, Việt Nam","Bệnh viện đa khoa, Bệnh viện tư nhân",4,https://www.google.com/maps/place/?q=place_id:ChIJJeoQtogvdTERC5kIIDyUWrc
Phòng khám đa khoa SIHG,10.7224088,106.71317289999999,"Phòng khám đa khoa SIHG, 16 Đ. Tôn Dật Tiên, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh, Việt Nam",Bệnh viện,4.6,https://www.google.com/maps/place/?q=place_id:ChIJNw8wPXgvdTERTgtCa2Um8ac
PHÒNG KHÁM SKY,10.742714,106.71579249999999,"PHÒNG KHÁM SKY, 158 Đ. Lâm Văn Bền, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Phòng khám,3.6,https://www.google.com/maps/place/?q=place_id:ChIJRWFfRoIvdTER1aK84opshdw
Nhận Khám bệnh tại nhà Quận 7 - Bác sĩ Quỳnh,10.7334506,106.7016488,"Nhận Khám bệnh tại nhà Quận 7 - Bác sĩ Quỳnh, 538 Lê Văn Lương, Tân Hưng, Hồ Chí Minh, Việt Nam",Bệnh viện,4.9,https://www.google.com/maps/place/?q=place_id:ChIJK67BCmIvdTERyqkiBzzJcPk
Phòng khám Tai Mũi Họng quận 7 BS THƯ DNO,10.747438299999999,106.7131998,"Phòng khám Tai Mũi Họng quận 7 BS THƯ DNO, 62/71 Lâm Văn Bền, Tân Hưng, Hồ Chí Minh 72911, Việt Nam",Phòng khám tai mũi họng,5,https://www.google.com/maps/place/?q=place_id:ChIJlX81ucUvdTERx4IfygUDPz8
Phòng Khám Y Học Cổ Truyền Hoa Đà - Cơ Xương Khớp cn1,10.7450119,106.69616049999999,"Phòng Khám Y Học Cổ Truyền Hoa Đà - Cơ Xương Khớp cn1, 73 Đ. Ngô Thị Bì, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 700000, Việt Nam","Phòng khám vật lý trị liệu, Spa sức khỏe, Bác sĩ trị liệu xoa bóp, Trung tâm chăm sóc sức khỏe",4.6,https://www.google.com/maps/place/?q=place_id:ChIJqyT7dpgvdTERHy2AvJT_zIg
Phòng Khám Bầu Bí Quận 7,10.7424311,106.69964639999999,"Phòng Khám Bầu Bí Quận 7, 11 Đ. số 6, Khu dân cư Him Lam, Tân Hưng, Hồ Chí Minh 72912, Việt Nam",Bác sĩ khoa sản-Bác sĩ phụ khoa,4.9,https://www.google.com/maps/place/?q=place_id:ChIJPTvEgdYvdTER6-q-g45N_JU
"Phòng khám Nội Thần Kinh, BSCKI. Phạm Nguyễn Bảo Quốc (BV ĐHYD)",10.7393687,106.6966513,"Phòng khám Nội Thần Kinh, BSCKI. Phạm Nguyễn Bảo Quốc (BV ĐHYD), 44 Đ. số 7, khu dân cư Him Lam, Tân Hưng, Hồ Chí Minh 70000, Việt Nam","Phòng khám thần kinh, Phòng mạch y tế",5,https://www.google.com/maps/place/?q=place_id:ChIJsQpeIKwvdTER87efuEDJ-SE
Phòng Khám Da Liễu Gà Quận 7,10.7409079,106.6964452,"Phòng Khám Da Liễu Gà Quận 7, 131 Nguyễn Thị Thập, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh 700000, Việt Nam","Phòng khám, Spa",4.8,https://www.google.com/maps/place/?q=place_id:ChIJkww3mkMvdTER_FsaY8739tk
MEC - Phòng Khám Chuyên Khoa Mắt,10.744667399999999,106.6949652,"MEC - Phòng Khám Chuyên Khoa Mắt, chung cư Florita, 83 Đ. D4, Khu đô thị Him Lam, Tân Hưng, Hồ Chí Minh, Việt Nam",Trung tâm chăm sóc mắt,5,https://www.google.com/maps/place/?q=place_id:ChIJz5OAsusvdTERrfw4QcWg-pk
