Name,Latitude,Longitude,Address,Ward,Rating,Google Maps URL
Tiệm cà phê - giải khát An Sài Gòn,10.7459078,106.70998859999999,"Tiệm cà phê - giải khát An Sài Gòn, 36 Số 10, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ9zqbBvQvdTERjY2QVIM51Ck
"WOWTEA Q7 - Milo Dầm, Trà Sữa & Cà Phê",10.7449233,106.7054521,"WOWTEA Q7 - Milo Dầm, Trà Sữa & Cà Phê, Số 6 Đường Số 15, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Kiểng,4.5,https://www.google.com/maps/place/?q=place_id:ChIJ56t9oPkvdTERl0hNcZ7OYZo
Cà phê Cối Đá,10.741136599999999,106.6985837,"Cà phê Cối Đá, 24 Đ. Số 3, khu phố 16, Tân Hưng, Hồ Chí Minh 70000, Việt Nam",Tân Kiểng,4.1,https://www.google.com/maps/place/?q=place_id:ChIJn5W0AXcvdTERZt6i98vAmVI
LA COFFEE CN2,10.747828,106.7095762,"LA COFFEE CN2, 15 Số 3, Phường, Tân Hưng, Hồ Chí Minh 00700, Việt Nam",Tân Kiểng,4.7,https://www.google.com/maps/place/?q=place_id:ChIJEbMU3TUvdTERFPLclgNq3LM
Day In Cafe & Brunch,10.723054,106.7157649,"Day In Cafe & Brunch, Đ. Tôn Dật Tiên, Khu đô thị Phú Mỹ Hưng, Tân Hưng, Hồ Chí Minh 700000, Việt Nam",Tân Kiểng,4.6,https://www.google.com/maps/place/?q=place_id:ChIJ81RJRQAvdTERxigpO4csWwg
MOLO Coffee - Tân Kiểng,10.745995299999999,106.70558729999999,"MOLO Coffee - Tân Kiểng, 2 Số 63, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.1,https://www.google.com/maps/place/?q=place_id:ChIJtQxdARcvdTERfPQMyD-CmAk
MoliCoffee,10.7467665,106.7088421,"MoliCoffee, 39 Đ. số 9, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.1,https://www.google.com/maps/place/?q=place_id:ChIJP_AlT7gvdTERAMcLVsu4eo4
"TRÀ SỮA TUTIMI - 26 Đường Số 17, P. Tân Kiểng, Q.7",10.7450298,106.71323969999999,"TRÀ SỮA TUTIMI - 26 Đường Số 17, P. Tân Kiểng, Q.7, 26 Số 17, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.6,https://www.google.com/maps/place/?q=place_id:ChIJI3CfbgAvdTERjINfjFTiSPo
Lộ Thiên Quán,10.7442291,106.71376169999999,"Lộ Thiên Quán, 73 Đ. Số 37, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.5,https://www.google.com/maps/place/?q=place_id:ChIJeVaKpZ4vdTERbEwcq87Opkg
Work'in Jungle Cafe,10.7464839,106.704464,"Work'in Jungle Cafe, 194 Lê Văn Lương, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.8,https://www.google.com/maps/place/?q=place_id:ChIJjW4eXQAvdTERgmgOIG0ey6k
Lạc cafe,10.747861,106.70861649999999,"Lạc cafe, 41 Số 3, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.5,https://www.google.com/maps/place/?q=place_id:ChIJIx7Jq4EvdTERlG0NhV-ENeA
Coffee - Beer 112,10.746779499999999,106.706069,"Coffee - Beer 112, 123 Đ. Số 4, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,4.8,https://www.google.com/maps/place/?q=place_id:ChIJz0B1geYvdTERwF3as1wggKo
Tiệm trà AIYU - Quận 7,10.7470688,106.7065945,"Tiệm trà AIYU - Quận 7, 102 Đường Số 7, Khu Phố 2, Tân Hưng, Hồ Chí Minh, Việt Nam",Tân Kiểng,5,https://www.google.com/maps/place/?q=place_id:ChIJA1vGTgAvdTERlPEExkbpzMc
CRANE TEA ĐƯỜNG SỐ 17,10.7450356,106.71249549999999,"CRANE TEA ĐƯỜNG SỐ 17, 74 Số 17, Tân Hưng, Hồ Chí Minh 72900, Việt Nam",Tân Kiểng,4.2,https://www.google.com/maps/place/?q=place_id:ChIJScHh_lIvdTERFvO8Rt3tE2k
